id,titulo_producto,marca,precio_actual,porcentaje_descuento,precio_antiguo,url_imagen,url_producto
35,Vestido para mujer,esmara®,4.79,26,6.47,https://www.lidl.es/assets/gcpdee787f12ec3485198371605c0bb838a.jpg,https://www.lidl.es/p/esmara-vestido-para-mujer/p100391225#searchTrackingMasterId=Product.100391225&searchTrackingTitle=Vestido%2Bpara%2Bmujer&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100391225&searchTrackingOrigPos=1&searchTrackingPos=35&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
36,Calcetines júnior pack 10,esmara®,4.49,25,5.99,https://www.lidl.es/assets/gcp1487b27572454f91a05a422062b29f37.png,https://www.lidl.es/p/esmara-calcetines-junior-pack-10/p100391361#searchTrackingMasterId=Product.100391361&searchTrackingTitle=Calcetines%2Bj%25C3%25BAnior%2Bpack%2B10&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100391361&searchTrackingOrigPos=1&searchTrackingPos=36&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
37,Blusa para mujer,esmara®,3.49,30,4.99,https://www.lidl.es/assets/gcp64665fb39e3a4e8fa10aec09428e2ba9.jpeg,https://www.lidl.es/p/esmara-blusa-para-mujer/p100373277#searchTrackingMasterId=Product.100373277&searchTrackingTitle=Blusa%2Bpara%2Bmujer&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100373277&searchTrackingOrigPos=1&searchTrackingPos=37&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
38,Pantalón vaquero corto para mujer,esmara®,2.49,37,3.95,https://www.lidl.es/assets/gcp7ff1227515174ae28a260d990996ae2d.jpeg,https://www.lidl.es/p/esmara-pantalon-vaquero-corto-para-mujer/p100374659#searchTrackingMasterId=Product.100374659&searchTrackingTitle=Pantal%25C3%25B3n%2Bvaquero%2Bcorto%2Bpara%2Bmujer&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100374659&searchTrackingOrigPos=1&searchTrackingPos=38&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
39,Camiseta para mujer,esmara®,3.49,30,4.99,https://www.lidl.es/assets/gcp92363737760b4de6a2f94b4d8707a686.jpg,https://www.lidl.es/p/esmara-camiseta-para-mujer/p100386971#searchTrackingMasterId=Product.100386971&searchTrackingTitle=Camiseta%2Bpara%2Bmujer&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100386971&searchTrackingOrigPos=1&searchTrackingPos=39&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
40,LIDL TREK - Camiseta técnica para mujer,CRIVIT,2.99,25,3.99,https://www.lidl.es/assets/gcp8d7a3e81e97d43748d5f7c74971cfb65.jpg,https://www.lidl.es/p/crivit-lidl-trek-camiseta-tecnica-para-mujer/p100389376#searchTrackingMasterId=Product.100389376&searchTrackingTitle=LIDL%2BTREK%2B-%2BCamiseta%2Bt%25C3%25A9cnica%2Bpara%2Bmujer&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100389376&searchTrackingOrigPos=1&searchTrackingPos=40&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
41,Pantalón corto de chándal para mujer,CRIVIT,2.99,25,3.99,https://www.lidl.es/assets/gcp00e5e11ecabd4fbe94e7cf2add530609.jpg,https://www.lidl.es/p/crivit-pantalon-corto-de-chandal-para-mujer/p100389619#searchTrackingMasterId=Product.100389619&searchTrackingTitle=Pantal%25C3%25B3n%2Bcorto%2Bde%2Bch%25C3%25A1ndal%2Bpara%2Bmujer&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100389619&searchTrackingOrigPos=1&searchTrackingPos=41&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
42,Calcetines tobilleros para mujer,CRIVIT,1.99,20,2.49,https://www.lidl.es/assets/gcp38d04934766349baacf2943c3ad17ef0.jpg,https://www.lidl.es/p/crivit-calcetines-tobilleros-para-mujer/p100389704#searchTrackingMasterId=Product.100389704&searchTrackingTitle=Calcetines%2Btobilleros%2Bpara%2Bmujer&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100389704&searchTrackingOrigPos=1&searchTrackingPos=42&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
43,Leggins pirata para mujer para tallas grandes,esmara®,3.49,30,4.99,https://www.lidl.es/assets/gcp5fdbeab6db5e4aa99b7d3d669ecd279c.jpg,https://www.lidl.es/p/esmara-leggins-pirata-para-mujer-para-tallas-grandes/p100389803#searchTrackingMasterId=Product.100389803&searchTrackingTitle=Leggins%2Bpirata%2Bpara%2Bmujer%2Bpara%2Btallas%2Bgrandes&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100389803&searchTrackingOrigPos=1&searchTrackingPos=43&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
44,Set de batidora mini,SILVERCREST®,3.99,20,4.99,https://www.lidl.es/assets/gcp3db1b87608d44f6581cb86c2e959970f.png,https://www.lidl.es/p/silvercrest-set-de-batidora-mini/p100391020#searchTrackingMasterId=Product.100391020&searchTrackingTitle=Set%2Bde%2Bbatidora%2Bmini&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100391020&searchTrackingOrigPos=1&searchTrackingPos=44&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
45,Camiseta técnica para hombre,CRIVIT,2.99,25,3.99,https://www.lidl.es/assets/gcpd45536ec392e4d3f8265914ccfa8acc1.jpg,https://www.lidl.es/p/crivit-camiseta-tecnica-para-hombre/p100391825#searchTrackingMasterId=Product.100391825&searchTrackingTitle=Camiseta%2Bt%25C3%25A9cnica%2Bpara%2Bhombre&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100391825&searchTrackingOrigPos=1&searchTrackingPos=45&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
46,Bestway® Piscina Steel Pro Ø 366 cm,Bestway,134.99,41,228.80,https://www.lidl.es/assets/gcp8b418e1f6f414713ad31ba9a720f5ea5.jpg,https://www.lidl.es/p/bestway-piscina-steel-pro-o-366-cm/p100363729#searchTrackingMasterId=Product.100363729&searchTrackingTitle=Bestway%25C2%25AE%2BPiscina%2BSteel%2BPro%2B%25C3%2598%2B366%2Bcm&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100363729&searchTrackingOrigPos=1&searchTrackingPos=46&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
47,LEGO® Ladrillo de almacenamiento (Gris piedra medio),LEGO,19.99,39,32.77,https://www.lidl.es/assets/gcp6dc8d479f8164db8a733c9384d70df8e.jpeg,https://www.lidl.es/p/lego-ladrillo-de-almacenamiento/p100367563001#searchTrackingMasterId=Product.100367563001&searchTrackingTitle=LEGO%25C2%25AE%2BLadrillo%2Bde%2Balmacenamiento%2B%2528Gris%2Bpiedra%2Bmedio%2529&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100367563001&searchTrackingOrigPos=1&searchTrackingPos=47&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
48,Dyson® Aspiradora infantil,Casdon,25.99,13,29.87,https://www.lidl.es/assets/gcp6fc94582da9443408bdd0e77173ca17b.jpg,https://www.lidl.es/p/casdon-dyson-aspiradora-infantil/p100368129#searchTrackingMasterId=Product.100368129&searchTrackingTitle=Dyson%25C2%25AE%2BAspiradora%2Binfantil&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100368129&searchTrackingOrigPos=1&searchTrackingPos=48&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
