id,titulo_producto,precio_actual,porcentaje_descuento,precio_antiguo,url_imagen,url_producto
107,LIVARNO home Ropa de cama de muselina 240 x 220 cm,31.99,20,39.99,,
108,Ropa de cama de muselina 240 x 220 cm,,,,,
109,Wednesday Ropa de cama reversible,13.99,22,17.94,https://www.lidl.es/assets/gcp81a42d76eefd4f2ab1b3147ddc1e58dc.jpg,https://www.lidl.es/p/wednesday-ropa-de-cama-reversible/p100402719#searchTrackingMasterId=Product.100402719&searchTrackingTitle=Wednesday%2BRopa%2Bde%2Bcama%2Breversible&searchTrackingPageSize=48&searchTrackingPage=20&searchTrackingEvent=click&searchTrackingId=Product.100402719&searchTrackingOrigPos=1&searchTrackingPos=919&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
110,Wednesday Ropa de cama reversible,13.99,22,17.94,,
111,Wednesday Ropa de cama reversible,,,,,
112,LIVARNO home Ropa de cama de muselina 150 x 220 cm,22.99,17,27.70,https://www.lidl.es/assets/gcpdffb9735c56748acbb47e39fb207485c.jpg,https://www.lidl.es/p/livarno-home-ropa-de-cama-de-muselina-150-x-220-cm/p100402735#searchTrackingMasterId=Product.100402735&searchTrackingTitle=Ropa%2Bde%2Bcama%2Bde%2Bmuselina%2B150%2Bx%2B220%2Bcm&searchTrackingPageSize=48&searchTrackingPage=20&searchTrackingEvent=click&searchTrackingId=Product.100402735&searchTrackingOrigPos=1&searchTrackingPos=920&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
113,LIVARNO home Ropa de cama de muselina 150 x 220 cm,22.99,17,27.70,,
114,Ropa de cama de muselina 150 x 220 cm,,,,,
115,Información legal De momento no realizamos envíos a Ceuta y Melilla.,,,,https://www.lidl.es/n/footer/icons/arrow-bottom.svg,https://www.lidl.es/c/newsletter/s10087416
116,"Newsletter Mantente al día de todas nuestras novedades y recibe información personalizada sobre nuestros productos, campañas y ¡mucho más!",,,,https://www.lidl.es/n/footer/icons/arrow-bottom.svg,https://www.lidl.es/c/newsletter/s10087416
117,Contacto Información,,,,https://www.lidl.es/n/footer/icons/arrow-bottom.svg,https://atencion-al-cliente.lidl.es/SelfServiceES/s/
118,Métodos de pago en la tienda online,,,,https://www.lidl.es/static/assets/visa-paymenticon-2024-1679516.svg,https://atencion-al-cliente.lidl.es/SelfServiceES/s/article/Qu%C3%A9-m%C3%A9todos-de-pago-puedo-utilizar-para-hacer-mi-pedido?q=metodos%20de%20pago
119,"Antes de seguir adelante: Tratamiento de sus datos Nosotros, como operador de los sitios web de Lidl y de la aplicación de Lidl, procesamos sus datos en nuestros sitios web y en nuestra aplicación (colectivamente: ""servicios de Lidl"") utilizando diversas tecnologías que se utilizan para almacenar y acceder a la información en tu dispositivo final. Algunas de ellas son técnicamente necesarias o se utilizan con tu consentimiento para configurar los ajustes, para recopilar estadísticas o para publicidad personalizada dentro y fuera de los servicios Lidl. Si participa en el programa Lidl Plus, los datos de su comportamiento de compra en la tienda también se procesarán para estos fines.",,,,,https://www.lidl.es/c/proteccion-de-datos-en-nuestros-sitios-web/s10089303?hidebanner=true
120,RECHAZAR PERSONALIZAR,,,,,
