id,titulo_producto,marca,precio_actual,porcentaje_descuento,precio_antiguo,url_imagen,url_producto
622,esmara® Joggers para mujer,esmara®,7.99,15,9.49,https://www.lidl.es/assets/gcp2981822eb625407da8d5d361c3f77415.jpg,https://www.lidl.es/p/esmara-joggers-para-mujer/p100394881
623,PARKSIDE® Serrucho de costilla,PARKSIDE®,3.99,20,4.99,https://www.lidl.es/assets/gcp179e8dd5d08847829a98ff441f962fa0.jpg,https://www.lidl.es/p/parkside-serrucho-de-costilla/p100395258
624,LIVARNO home Vela LED en cesta de metal,LIVARNO home,7.99,11,8.99,https://www.lidl.es/assets/gcp3a7b4a871d184b8d8cf2f270731c47d3.jpg,https://www.lidl.es/p/livarno-home-vela-led-en-cesta-de-metal/p100395298
625,SILVERCREST® Freidora de acero inoxidable 4 L 2000 W,SILVERCREST®,42.99,10,47.99,https://www.lidl.es/assets/gcp8ac46aa3d5934c25bc50b0f5549f4e1f.jpg,https://www.lidl.es/p/silvercrest-freidora-de-acero-inoxidable-4-l-2000-w/p100395317
626,"SILVERCREST® Jarra térmica con bomba dosificador 2,2 L",SILVERCREST®,17.96,9,19.95,https://www.lidl.es/assets/gcp7ee40fcf1bbf4d12b4242acb82ecf14f.jpg,https://www.lidl.es/p/silvercrest-jarra-termica-con-bomba-dosificador-2-2-l/p100395353
627,"SILVERCREST® Hervidor de agua digital 3000 W 1,7 L",SILVERCREST®,15.99,20,19.99,https://www.lidl.es/assets/gcpc537c51e6dae473780a300aa4fccbf56.png,https://www.lidl.es/p/silvercrest-hervidor-de-agua-digital-3000-w-1-7-l/p100395446
628,PARKSIDE® Set de machos / de puntas / de brocas,PARKSIDE®,5.49,21,6.99,https://www.lidl.es/assets/gcpa29f853ae22e4ea6ba7b17a6c371398f.jpg,https://www.lidl.es/p/parkside-set-de-machos-de-puntas-de-brocas/p100395507
629,esmara® Vestido navideño para mujer,esmara®,7.99,20,9.99,https://www.lidl.es/assets/gcpdbd3764b44df42dba20b508fba0210f7.jpg,https://www.lidl.es/p/esmara-vestido-navideno-para-mujer/p100395599
630,PARKSIDE PERFORMANCE® Caballete de trabajo,PARKSIDE PERFORMANCE®,67.99,20,84.99,https://www.lidl.es/assets/gcpd0ea68b1edb044119de0b73608c92f31.jpg,https://www.lidl.es/p/parkside-performance-caballete-de-trabajo/p100395759
631,CRIVIT Camiseta técnica interior para hombre,CRIVIT,7.99,20,9.99,https://www.lidl.es/assets/gcp6c2baa552a834240abd726039e268265.jpg,https://www.lidl.es/p/crivit-camiseta-tecnica-interior-para-hombre/p100395824
632,LIVARNO® Lámpara LED de sobremesa luz con regulable,LIVARNO®,11.99,20,14.99,https://www.lidl.es/assets/gcpdcf20a4657454442bd5f498f3689684d.jpg,https://www.lidl.es/p/livarno-lampara-led-de-sobremesa-luz-con-regulable/p100395900
633,esmara® Leggins para mujer,esmara®,5.19,20,6.49,https://www.lidl.es/assets/gcp44a279cf8c7c44e69bf363720d39c166.jpg,https://www.lidl.es/p/esmara-leggins-para-mujer/p100395978
634,Trefl Juegos reunidos Disney (Patrulla Canina),Trefl,9.99,33,14.99,https://www.lidl.es/assets/gcpf0e72f5b925842f2bcef93285cafe558.jpg,https://www.lidl.es/p/trefl-juegos-reunidos-disney/p100396026003
635,esmara® Calcetines júnior pack 7,esmara®,3.99,20,4.99,https://www.lidl.es/assets/gcp9d15711375284db5ae8dbf799b4aad7b.jpg,https://www.lidl.es/p/esmara-calcetines-junior-pack-7/p100396225
636,CIEN Beauty Joyero,CIEN Beauty,8.99,25,11.99,https://www.lidl.es/assets/gcp88944ee5fbd148d68c5b64fcb0b373d2.jpg,https://www.lidl.es/p/cien-beauty-joyero/p100396527
637,Hot Wheels Camiones Monster,Hot Wheels,6.99,12,7.99,https://www.lidl.es/assets/gcp1acf0bba6d134d0dba84ebaa2930511e.jpg,https://www.lidl.es/p/hot-wheels-camiones-monster/p100396567
638,SILVERCREST® Recipiente portalimentos isotérmico,SILVERCREST®,5.99,20,7.49,https://www.lidl.es/assets/gcp8721d82ab908474e89555edad6d6a50c.jpg,https://www.lidl.es/p/silvercrest-recipiente-portalimentos-isotermico/p100397200
639,SILVERCREST® Bandejas para horno,SILVERCREST®,3.99,20,4.99,https://www.lidl.es/assets/gcp0b2663b824eb44a3a9fc721882f0d99f.jpg,https://www.lidl.es/p/silvercrest-bandejas-para-horno/p100397539
640,SILVERCREST® Organizador de cocina giratorio,SILVERCREST®,4.49,18,5.49,https://www.lidl.es/assets/gcp9bbc08ff7880448585b2f61cb932975c.jpg,https://www.lidl.es/p/silvercrest-organizador-de-cocina-giratorio/p100397603
641,LIVARNO® Lámpara LED de sobremesa con función táctil,LIVARNO®,7.99,20,9.99,https://www.lidl.es/assets/gcpded76751ae7440c18fb59e849b9eaf21.jpg,https://www.lidl.es/p/livarno-lampara-led-de-sobremesa-con-funcion-tactil/p100397712
642,LIVARNO® Panel con sensor de movimiento,LIVARNO®,14.99,16,17.99,https://www.lidl.es/assets/gcp192b215f423f49e994c34ce9870ddd45.jpg,https://www.lidl.es/p/livarno-panel-con-sensor-de-movimiento/p100397741
643,Severin Tostadora de acero inoxidable 800 W,SEVERIN,18.99,20,23.99,https://www.lidl.es/assets/gcp89e15e447cc042b7b874c11ba7d8490f.jpg,https://www.lidl.es/p/severin-tostadora-de-acero-inoxidable-800-w/p100397768
644,SILVERCREST® Aspirador ciclónico recargable 16 V,SILVERCREST®,54.99,15,64.99,https://www.lidl.es/assets/gcp3c6961cd8bfa4b6990f86ec52c53dc99.jpg,https://www.lidl.es/p/silvercrest-aspirador-ciclonico-recargable-16-v/p100398049
645,Masterpro Sartén de aluminio 20 cm,Masterpro,9.99,41,16.99,https://www.lidl.es/assets/gcp37bd97ebcc0544fa8ca068f26c841598.jpg,https://www.lidl.es/p/masterpro-sarten-de-aluminio-20-cm/p100398104
646,esmara Men Camisetas de canale fino para hombre pack 3,esmara Men,5.49,21,6.99,https://www.lidl.es/assets/gcp5198bd604b5b4d48a8d2946ebad1ccfe.jpg,https://www.lidl.es/p/esmara-men-camisetas-de-canale-fino-para-hombre-pack-3/p100398108
647,TRONIC® Pizarra electrónica,TRONIC®,3.19,20,3.99,https://www.lidl.es/assets/gcp6f15d3a275024c05adcf3aca6853d688.jpg,https://www.lidl.es/p/tronic-pizarra-electronica/p100398201
648,Philips Batidora de vaso 350 W,PHILIPS,21.99,26,26.99,https://www.lidl.es/assets/gcpa2b17d631a884f58aec99d17b2f665b9.jpg,https://www.lidl.es/p/philips-batidora-de-vaso-350-w/p100398346
649,Wenko® Bandeja para aperitivos con cuencos de cristal,Wenko,16.99,15,19.99,https://www.lidl.es/assets/gcp2cd1f4c1910b41a7aa8fbe9da75a9c9f.jpg,https://www.lidl.es/p/wenko-bandeja-para-aperitivos-con-cuencos-de-cristal/p100398682
650,OSRAM Lámpara espiral,OSRAM,17.99,9,19.95,https://www.lidl.es/assets/gcp9544b5ccab2143c295ca1a82bf573c5d.jpg,https://www.lidl.es/p/osram-lampara-espiral/p100398768
